feature,mean,scale
high,207.19792013871213,212.26312990422574
low,202.63502182489182,208.47611548893744
volume,16116320.408119114,25388999.857203096
adj close,204.96692214303894,210.38345540003272
P,204.93328803554763,210.36675657404544
R1,207.23155424620344,212.27453191813868
R2,209.49618634936795,214.18201996866983
R3,211.79445256002379,216.1172416223089
S1,202.66865593238313,208.4871468652604
S2,200.37038972172732,206.60833864447494
S3,198.10575761856282,204.75815648537844
obv,691436080.2867142,1103898686.3497634
volume_zscore,0.0043654011683748216,1.0535354017559713
rsi,52.73912359971812,12.410522840035815
macd,0.4662767263946616,7.968956726790198
macds,0.46432558124840495,7.460977914600703
macdh,0.0019511451462566188,2.502165503987003
sma,204.3263965321965,208.97395597960184
lma,203.3329401756172,206.82664672676256
sema,204.5966383966965,209.4412191837448
lema,204.13036167030185,208.307480970996
overnight_gap,7.031609788653558e-05,0.026312811950359713
return_lag_1,0.0006695289033518534,0.028739516146340183
return_lag_3,0.0019536177210957577,0.04817687925949322
return_lag_5,0.00316675404801912,0.06027118508738293
volatility,0.022352685660956557,0.01836625475216991
SR_K,55.48295353457982,30.605264277282124
SR_D,55.48294559469911,28.495833235624605
SR_RSI_K,51.83211219363868,36.170032591911884
SR_RSI_D,51.83505306096916,32.74006437015371
ATR,5.052210032087409,5.173629445578492
HL_PCT,2.8146974383005623,2.3637991353913583
PCT_CHG,0.06695289033518548,2.873951614634021
close,204.96692214303894,210.38345540003272
